exchangedate,cc,enname,rate,units
13.02.2021,EUR,Euro,33.8111,1
13.03.2021,EUR,Euro,33.1748,1
13.04.2021,EUR,Euro,33.2758,1
13.05.2021,EUR,Euro,33.4953,1
13.06.2021,EUR,Euro,32.989,1
13.07.2021,EUR,Euro,32.3459,1
13.08.2021,EUR,Euro,31.421,1
13.09.2021,EUR,Euro,31.5843,1
13.10.2021,EUR,Euro,30.4265,1
13.11.2021,EUR,Euro,29.9144,1
13.12.2021,EUR,Euro,30.4521,1
14.01.2021,EUR,Euro,34.0373,1
14.02.2021,EUR,Euro,33.8111,1
14.03.2021,EUR,Euro,33.1748,1
14.04.2021,EUR,Euro,33.3218,1
14.05.2021,EUR,Euro,33.3738,1
14.06.2021,EUR,Euro,32.7905,1
14.07.2021,EUR,Euro,32.372,1
14.08.2021,EUR,Euro,31.421,1
14.09.2021,EUR,Euro,31.4472,1
14.10.2021,EUR,Euro,30.4265,1
14.11.2021,EUR,Euro,29.9144,1
14.12.2021,EUR,Euro,30.3272,1
15.01.2021,EUR,Euro,33.9888,1
15.02.2021,EUR,Euro,33.6801,1
15.03.2021,EUR,Euro,33.0839,1
15.04.2021,EUR,Euro,33.4753,1
15.05.2021,EUR,Euro,33.3738,1
15.06.2021,EUR,Euro,32.7053,1
15.07.2021,EUR,Euro,32.2482,1
15.08.2021,EUR,Euro,31.421,1
15.09.2021,EUR,Euro,31.4627,1
15.10.2021,EUR,Euro,30.4265,1
15.11.2021,EUR,Euro,29.9007,1
15.12.2021,EUR,Euro,30.534,1
16.01.2021,EUR,Euro,34.0121,1
16.02.2021,EUR,Euro,33.9297,1
16.03.2021,EUR,Euro,32.9523,1
16.04.2021,EUR,Euro,33.4616,1
16.05.2021,EUR,Euro,33.3738,1
16.06.2021,EUR,Euro,32.6166,1
16.07.2021,EUR,Euro,32.2369,1
16.08.2021,EUR,Euro,31.3978,1
16.09.2021,EUR,Euro,31.517,1
16.10.2021,EUR,Euro,30.4265,1
16.11.2021,EUR,Euro,30.1468,1
16.12.2021,EUR,Euro,30.6186,1
17.01.2021,EUR,Euro,34.0121,1
17.02.2021,EUR,Euro,33.7708,1
17.03.2021,EUR,Euro,32.9632,1
17.04.2021,EUR,Euro,33.4616,1
17.05.2021,EUR,Euro,33.4781,1
17.06.2021,EUR,Euro,32.7722,1
17.07.2021,EUR,Euro,32.2369,1
17.08.2021,EUR,Euro,31.3633,1
17.09.2021,EUR,Euro,31.37,1
17.10.2021,EUR,Euro,30.4265,1
17.11.2021,EUR,Euro,30.0266,1
17.12.2021,EUR,Euro,30.8435,1
18.01.2021,EUR,Euro,34.0121,1
18.02.2021,EUR,Euro,33.6422,1
18.03.2021,EUR,Euro,32.9853,1
18.04.2021,EUR,Euro,33.4616,1
18.05.2021,EUR,Euro,33.4449,1
18.06.2021,EUR,Euro,32.4424,1
18.07.2021,EUR,Euro,32.2369,1
18.08.2021,EUR,Euro,31.382,1
18.09.2021,EUR,Euro,31.37,1
18.10.2021,EUR,Euro,30.446,1
18.11.2021,EUR,Euro,29.9974,1
18.12.2021,EUR,Euro,30.8435,1
19.01.2021,EUR,Euro,34.0158,1
19.02.2021,EUR,Euro,33.6478,1
19.03.2021,EUR,Euro,32.9785,1
19.04.2021,EUR,Euro,33.525,1
19.05.2021,EUR,Euro,33.5319,1
19.06.2021,EUR,Euro,32.4424,1
19.07.2021,EUR,Euro,32.141,1
19.08.2021,EUR,Euro,31.2379,1
19.09.2021,EUR,Euro,31.37,1
19.10.2021,EUR,Euro,30.5611,1
19.11.2021,EUR,Euro,29.9688,1
